,TF-IDF
cárceles,0.33859321133222653
prisiones,0.2799086788601762
carcelarias,0.26826660038324596
disponible,0.22964237476700985
pandillas,0.22494590469851994
presos,0.21795724128793317
criminales,0.14157064840239195
carcelaria,0.12228876518064137
sistema,0.11651354671998075
segregación,0.10810372645706275
reclusos,0.09845652969040952
prisión,0.0951724832691323
pueden,0.09125380746664905
cárcel,0.08579233001755852
dura,0.08540458253947475
redes,0.08352116612973189
condiciones,0.0785463740029218
estructuras,0.0762232805364203
dentro,0.07479700640644163
hacinamiento,0.07337325910838483
países,0.07324525922656698
ibíd,0.07286061289065097
preventiva,0.07197396595648063
penitenciarios,0.06896541542777186
penitenciario,0.06714926200428367
grupos,0.06426824063104847
leyes,0.06309493397169269
organizaciones,0.06277806086726255
población,0.062030997431206644
instalaciones,0.06199808920730768
control,0.06067966357198586
seguridad,0.0598905532215516
crime,0.058589467680115026
insight,0.058254703787769806
pandilla,0.056604568564983235
autoridades,0.05638485424364448
poder,0.054717239698611274
economías,0.05464112131504723
sistemas,0.05430801912470126
interna,0.05378090725516158
drogas,0.05347594477700443
2016,0.05325638028914206
miembros,0.051768380810647434
rivales,0.050815520357613546
influencia,0.05064553303677959
externas,0.05027822406328157
exterior,0.049673746650042934
funcionan,0.049517823027336066
colombia,0.04934705667754532
corrupción,0.049144407791712794
internas,0.04891550607225655
necesidades,0.04780525089347695
carcelario,0.047341931570572496
azteca,0.046810180772969175
mantener,0.04642712962944637
capacidad,0.046031097836474334
ejemplo,0.04555851795475422
mano,0.045369867939567626
gobiernos,0.04519882125773194
derechos,0.044240421731410046
jerarquías,0.04415095373076194
políticas,0.04414003277921017
rehabilitación,0.04388708254494573
cabecillas,0.04353259017915863
programas,0.04344457763829175
salvador,0.04341073636475053
pcc,0.042801067813224486
skype,0.04237280641066052
máxima,0.04230254272023865
tipo,0.0421831033817899
auc,0.04182959453179234
casos,0.041812858354093214
región,0.04163449674586666
steven,0.04095079005223666
así,0.04060235217274439
incubadoras,0.04047811827258387
suelen,0.04024088635992118
parte,0.04017545427635447
dudley,0.04014850441991718
ser,0.03893395232530347
tipos,0.03872716298255057
interior,0.03791422189433256
julio,0.03791422189433256
guardias,0.0376174993242392
actividades,0.037176331831213834
veces,0.03683039450638589
solidaridad,0.03679246144230162
controlar,0.03676814143609651
puede,0.036464916104302796
detención,0.03615729492538351
celdas,0.03591301718805827
tiempo,0.03527596620138753
bolivia,0.03521077556493103
medidas,0.03460388376910122
espacio,0.034559648533900804
triángulo,0.03435243828173525
muchas,0.034304134730756164
resultado,0.034219269659742244
2011,0.034219269659742244
criminal,0.034155595706647626
lima,0.03409037701597625
pabellones,0.03389824512852842
aztecas,0.03389824512852842
legislativas,0.033815665407551786
latinoamérica,0.033662619336025296
manera,0.0335914172357597
ideológicas,0.03324260424160931
menudo,0.032434835584793376
externa,0.0323824946180671
imposición,0.0323824946180671
básicas,0.032227360357776014
modelo,0.03217282307687427
cidh,0.03120678718197945
experimentados,0.03120678718197945
crimen,0.031147161860242776
delincuentes,0.031104799508274033
cuales,0.03088788984091237
políticos,0.030741531697473283
investigación,0.030727303243281896
importantes,0.030712361056361343
adentro,0.030572191295160343
recomendaciones,0.030572191295160343
venezuela,0.030296357402422768
separados,0.03024616426090793
crisis,0.02993739974452277
afuera,0.029556947411327052
resumen,0.029556947411327052
orden,0.029372746217535474
guatemala,0.029203686956623776
narcotraficantes,0.02898209381978018
2013,0.02898209381978018
imponer,0.02895780285012045
sentencias,0.02895780285012045
byron,0.028730413750446614
línea,0.028597443339186176
violentos,0.028273884941678394
criminalidad,0.028168507015564954
personas,0.028081732661925467
2012,0.027999469925008853
ciudadana,0.02785899473206922
abusos,0.027576705494463657
prisioneros,0.027554706314358968
pranes,0.027554706314358968
impacto,0.027462771670413576
honduras,0.027299876494543417
embargo,0.027218761355940462
quién,0.02717132133293824
ley,0.027076454459270816
libertad,0.0270406859878683
replican,0.027025931614265686
prende,0.027025931614265686
1008,0.027025931614265686
alexandra,0.027025931614265686
mareras,0.027025931614265686
prisons,0.027025931614265686
httpswwweltiempocomarchivodocumentomam431150,0.027025931614265686
prison,0.027025931614265686
diferentes,0.026717277486633915
forma,0.026572851836501387
menos,0.026398174069038806
enfoque,0.026299212119336703
disciplina,0.026172351256902048
febrero,0.026027575282019124
dichas,0.02600709021063474
of,0.025826639232416796
organización,0.02557165517124222
justicia,0.025568503859866316
mejor,0.025463702869627007
espantosas,0.02542368384639631
carcelarios,0.02542368384639631
deplorables,0.02542368384639631
op,0.02542368384639631
cit,0.02542368384639631
reclutamiento,0.0254183759571998
normas,0.0254183759571998
hecho,0.025376470107965243
brasil,0.025156325467510496
recursos,0.024932335468813877
incluso,0.0249306943374033
