,TF-IDF
eme,0.5917637498439129
little,0.2586375320563999
montes,0.25331869350971226
one,0.24982825615112406
boo,0.22124696766869756
carnales,0.19606241668230578
fox,0.16180807247139697
anónimo,0.15348443543423965
carnal,0.14308978969801786
fast,0.13479291146908523
ms13,0.11971649963972875
freddie,0.11062348383434878
freddy,0.10775807137482755
mexican,0.10187152938469116
proyecto,0.09535871402299605
templarios,0.08808442548943869
california,0.08716078833728658
bay,0.07949080877535765
pelican,0.07629343878164038
mafia,0.06913066884686989
caballeros,0.06749523645103994
comunicó,0.06378290555461424
sureños,0.06241769796908457
michoacán,0.05741793417729979
sonia,0.05352569781830089
michoacana,0.05277481433497081
hermanos,0.05103816371315537
pandillero,0.05092684582850261
tramposo,0.05086229252109358
hombre,0.049236117753974344
tuta,0.04458406997791755
13,0.04303682280435047
pandilla,0.0429705884502704
metanfetamina,0.040311573377970755
familia,0.03906969592039206
old,0.039024488099459416
señores,0.03837110885855991
man,0.036194648606647443
calles,0.03559411102842527
michoacanos,0.03522853982436772
rata,0.03522853982436772
cárceles,0.034893936934676566
cartel,0.03425634258300329
seguía,0.033623038244247894
verde,0.0329321356376707
demandó,0.0325972603871492
reunieron,0.032368136147477605
ocasión,0.03173998039939608
ángeles,0.031578820506161745
pronto,0.0314473833558887
presos,0.0310663504301535
miembro,0.030802822542636984
barrio,0.03067547435158254
aval,0.030240379933126674
llamada,0.030186126513021255
penal,0.030103190392518953
correr,0.028446172436992722
negocio,0.028340329898511717
negociación,0.02825742809134279
tucán,0.027655870958587195
jale,0.027655870958587195
norwalk,0.027655870958587195
emero,0.027655870958587195
alias,0.027240700640316317
organización,0.026871400070712488
jales,0.02601632539963961
dentro,0.025924151286391483
2011,0.02556202876092035
día,0.025529025136945927
californianas,0.02543114626054679
sereno,0.024936384348142587
miembros,0.02485201812101194
secretarias,0.024507802085288223
cayeron,0.024506500087942158
bajo,0.024434576765624636
pandillas,0.024214492683094516
fred,0.024129765737764958
protegieran,0.024129765737764958
michoacano,0.023791600701599212
luz,0.023620998527122915
anthony,0.02348569321624515
sacarle,0.02320642156250639
abril,0.023204904727617204
unidos,0.023018770870455254
beneficio,0.02222017277642837
ocasiones,0.02219474147450673
dea,0.02215795513556147
andaba,0.022088496644157404
días,0.021946823504944774
impuesto,0.02190762418290445
si,0.021672163608673668
emisario,0.021566876003558815
americana,0.021566876003558815
compartió,0.021566876003558815
sino,0.021343122730749026
transformó,0.021260968518204748
enero,0.021219462776436313
describe,0.021099128596513465
líder,0.02103747433542473
letra,0.02098169686446599
tirar,0.02098169686446599
plan,0.02096725072757405
justicia,0.02091840210255942
vega,0.020724791846810878
importaba,0.020160253288751116
paso,0.02013043233166709
tres,0.0201112255986559
todas,0.020033102852531022
latinos,0.019959587995422915
delincuencial,0.019770733568372778
cárcel,0.019766493662136023
mundo,0.019764472425646173
montoya,0.019592376613605012
existencia,0.01952595912364932
fecha,0.019509213371344435
mexicano,0.019202336713217742
pidió,0.019170372138453788
poderío,0.019036243820164347
adam,0.019036243820164347
drogas,0.018974151093318146
michael,0.01889357147461304
delincuenciales,0.01889357147461304
parte,0.01866646318149822
historia,0.018662466046297777
ambicioso,0.018625949921829404
especialista,0.018378935818902323
conectado,0.018320042436475337
económicamente,0.018320042436475337
sugirió,0.01783362799116702
alianza,0.017785355875565935
cualquier,0.017702395126379146
recluido,0.017639047248076602
kilos,0.017590692541297154
hicieron,0.01751276993266125
origen,0.017392812677698863
locos,0.01728205752868533
consta,0.017198686625988644
cuenta,0.017113385702964307
distribuir,0.01699926850551049
detalle,0.01688530626347713
dejó,0.016872657879971782
clica,0.01666884677657264
contrato,0.01666884677657264
primero,0.016627645380064213
supo,0.016599820475581915
acompañado,0.01656585614499632
primera,0.01653814746129502
algún,0.01643846785712774
sabían,0.01643348277460068
propuso,0.016401225223789003
aceptó,0.016401225223789003
méxico,0.01586132550480224
contaba,0.015816046084696177
tener,0.015779810897920177
aquella,0.015762993648902504
quería,0.015710803892670315
expresó,0.015685023840099996
provecho,0.015685023840099996
moreno,0.01536746625379081
estadounidense,0.01532370101735408
inmediatamente,0.01520865509716842
sucedió,0.01520865509716842
únicamente,0.01501537668693791
logística,0.014933074759867826
quedaron,0.014933074759867826
aquel,0.014912824854909643
preso,0.01489270190943761
protección,0.014805953134114692
nombre,0.014762100140561516
aquí,0.014737219470540752
telefónicas,0.014641975140637673
febrero,0.014614709070512646
ponen,0.014605082788602966
custodia,0.014605082788602966
aparece,0.014479200015544041
diferentes,0.014454115093867102
entrega,0.01440942336988848
dejaron,0.014341131446955924
carta,0.014324283118034964
noticia,0.014307522770344786
encontraban,0.014274262376441301
histórico,0.014257760544259234
hombres,0.014253605494236548
representante,0.014081628615084356
sur,0.014066508163552547
sospechas,0.013870593040394537
quedó,0.013841546694742376
isak,0.013827935479293597
desembolsarían,0.013827935479293597
presencialmente,0.013827935479293597
concretarlo,0.013827935479293597
quentin,0.013827935479293597
güila,0.013827935479293597
giradas,0.013827935479293597
us59000,0.013827935479293597
incrustarse,0.013827935479293597
venice,0.013827935479293597
chingaría,0.013827935479293597
inocentemente,0.013827935479293597
chicano,0.013827935479293597
chicana,0.013827935479293597
reajustar,0.013827935479293597
folio,0.013827935479293597
instruyera,0.013827935479293597
cricket,0.013827935479293597
acreedora,0.013827935479293597
delatora,0.013827935479293597
recolectaran,0.013827935479293597
comentarles,0.013827935479293597
comercializarlos,0.013827935479293597
caucásicas,0.013827935479293597
picounion,0.013827935479293597
picounión,0.013827935479293597
aclanzara,0.013827935479293597
trozar,0.013827935479293597
tributan,0.013827935479293597
interferidas,0.013827935479293597
repartirlo,0.013827935479293597
expresarles,0.013827935479293597
resbalarse,0.013827935479293597
nombrarla,0.013827935479293597
tardada,0.013827935479293597
levantándose,0.013827935479293597
dibujaba,0.013827935479293597
liner,0.013827935479293597
espetó,0.013827935479293597
rindiéndoles,0.013827935479293597
sumergía,0.013827935479293597
sumergiéndose,0.013827935479293597
ansiaban,0.013827935479293597
apaciguó,0.013827935479293597
monetariamente,0.013827935479293597
avalen,0.013827935479293597
consintieron,0.013827935479293597
aterrizadas,0.013827935479293597
metanfetmina,0.013827935479293597
ellosy,0.013827935479293597
menudistas,0.013827935479293597
embarrado,0.013827935479293597
landa,0.013827935479293597
erradicarían,0.013827935479293597
tomarle,0.013827935479293597
calentó,0.013827935479293597
californianos,0.013827935479293597
afincaba,0.013827935479293597
tornándose,0.013827935479293597
18,0.013697786448141505
tiempo,0.013617342494094038
junio,0.013613538511537711
ríos,0.013591321386655779
atrás,0.013396740643565361
modo,0.013396740643565361
rastreos,0.01336626339166431
rifa,0.01336626339166431
rienda,0.01336626339166431
bakersfield,0.01336626339166431
remitida,0.01336626339166431
abonando,0.01336626339166431
fresno,0.01336626339166431
soñar,0.01336626339166431
decretaron,0.01336626339166431
dotaciones,0.01336626339166431
avaricia,0.01336626339166431
departir,0.01336626339166431
poquísimo,0.01336626339166431
corresponderían,0.01336626339166431
serenidad,0.01336626339166431
wanderers,0.01336626339166431
seguimientos,0.01336626339166431
impenetrables,0.01336626339166431
aclarando,0.01336626339166431
comunicarle,0.01336626339166431
presentarlo,0.01336626339166431
llamadas,0.013297594558384866
enviar,0.013285413901301713
prisión,0.013022526289480762
mensajeras,0.013008162699819805
raymond,0.013008162699819805
sumándose,0.013008162699819805
tez,0.013008162699819805
francis,0.013008162699819805
extinguir,0.013008162699819805
transcrita,0.013008162699819805
anzuelo,0.013008162699819805
agradecidos,0.013008162699819805
fence,0.013008162699819805
clarita,0.013008162699819805
quehaceres,0.013008162699819805
ancestros,0.013008162699819805
abecedario,0.013008162699819805
tratando,0.012995017108905384
así,0.012980892410886555
entonces,0.012944942532822764
años,0.012750145312322212
acusación,0.012749237229907843
socios,0.012738966503418023
nutriendo,0.012715573130273395
oriundos,0.012715573130273395
bitácora,0.012715573130273395
afroamericanas,0.012715573130273395
vendieran,0.012715573130273395
delatando,0.012715573130273395
muchísimos,0.012715573130273395
demandaban,0.012715573130273395
morder,0.012715573130273395
desperdigado,0.012715573130273395
1955,0.012715573130273395
nombrarlo,0.012715573130273395
tripartito,0.012715573130273395
desperdigados,0.012715573130273395
1968,0.012715573130273395
garcía,0.012657962852916569
económico,0.012520946957112308
gatilleros,0.012468192174071293
inequívoca,0.012468192174071293
avisara,0.012468192174071293
confirió,0.012468192174071293
corporativo,0.012468192174071293
confiere,0.012468192174071293
haremos,0.012468192174071293
atreven,0.012468192174071293
importarle,0.012468192174071293
traspasó,0.012468192174071293
integraban,0.012468192174071293
beneficiada,0.012468192174071293
cifrado,0.012468192174071293
logró,0.012407987523356458
interferencias,0.012253901042644112
tax,0.012253901042644112
brazalete,0.012253901042644112
asumidas,0.012253901042644112
llamaremos,0.012253901042644112
resort,0.012253901042644112
intramuros,0.012253901042644112
amos,0.012253901042644112
precipitadamente,0.012253901042644112
agotó,0.012253901042644112
riviera,0.012253901042644112
asentaron,0.012253901042644112
formalidad,0.012253901042644112
instalándose,0.012253901042644112
robles,0.012253901042644112
liquidado,0.012253901042644112
rodeos,0.012253901042644112
green,0.012253901042644112
negociaciones,0.012219397380491838
largo,0.012216256257470099
seguirían,0.012064882868882479
quinientos,0.012064882868882479
concertar,0.012064882868882479
derrame,0.012064882868882479
excarcelado,0.012064882868882479
sureñas,0.012064882868882479
homie,0.012064882868882479
dígito,0.012064882868882479
apodaca,0.012064882868882479
soplón,0.012064882868882479
caía,0.012064882868882479
auspicio,0.012064882868882479
devueltas,0.012064882868882479
recompensados,0.012064882868882479
inesperadamente,0.012064882868882479
órdenes,0.011919839252874506
trascender,0.011895800350799606
sanguinario,0.011895800350799606
us24000,0.011895800350799606
zozobra,0.011895800350799606
enfurecido,0.011895800350799606
apretar,0.011895800350799606
omiso,0.011895800350799606
burlándose,0.011895800350799606
omitir,0.011895800350799606
comenzaría,0.011895800350799606
lozano,0.011895800350799606
irracional,0.011895800350799606
vez,0.011870822547843437
recibió,0.011825893054649273
fácil,0.011772334731977852
sentaron,0.011742846608122574
transcripciones,0.011742846608122574
asfalto,0.011742846608122574
aportando,0.011742846608122574
correccional,0.011742846608122574
seguirles,0.011742846608122574
expandillero,0.011742846608122574
comunicaron,0.011742846608122574
vendrían,0.011742846608122574
consistiría,0.011742846608122574
después,0.01173921705625058
hacer,0.01171415661366945
presentó,0.011712199965165168
medio,0.011654921976616557
richmond,0.011603210781253195
emeese,0.011603210781253195
vería,0.011603210781253195
longevidad,0.011603210781253195
asombro,0.011603210781253195
white,0.011603210781253195
conversión,0.011603210781253195
pronunciarse,0.011603210781253195
siguiente,0.011531227609822697
mexicana,0.011496226180189403
máximas,0.01147475827242564
californiano,0.01147475827242564
sabiendo,0.01147475827242564
mutuos,0.01147475827242564
emeeses,0.01147475827242564
involucrados,0.011420540803617239
