,link
0,https://www.elespectador.com/politica/cne-abre-indagacion-preliminar-por-los-denominados-petrovideos/
1,https://www.elespectador.com/judicial/defensoria-presenta-proyecto-de-ley-para-el-reconocimiento-de-las-comunidades-afro/
2,https://www.elespectador.com/judicial/defensoria-presenta-proyecto-de-ley-para-el-reconocimiento-de-las-comunidades-afro/#comments
3,https://www.elespectador.com/politica/cne-abre-indagacion-preliminar-por-los-denominados-petrovideos/#comments
4,https://www.elespectador.com/archivo/politica/2/
5,https://www.elespectador.com/politica/asi-estaran-conformadas-las-comisiones-de-senado-y-camara-2022-2026/#comments
6,https://www.elespectador.com/politica/mariposa-recien-descubierta-sera-bautizada-con-el-apellido-de-ivan-duque/#comments
7,https://www.elespectador.com/politica/mariposa-recien-descubierta-sera-bautizada-con-el-apellido-de-ivan-duque/
8,https://www.elespectador.com/mundo/mas-paises/terremoto-de-magnitud-71-sacude-el-norte-de-filipinas/#comments
9,https://www.elespectador.com/mundo/america/maduro-insiste-en-supuestas-amenazas-terroristas-desde-bogota-contra-venezuela/#comments
10,https://www.elespectador.com/mundo/mas-paises/tras-victoria-en-el-referendo-tunez-se-encamina-a-adoptar-nueva-constitucion-noticias-hoy/#comments
11,https://www.elespectador.com/mundo/mas-paises/tras-victoria-en-el-referendo-tunez-se-encamina-a-adoptar-nueva-constitucion-noticias-hoy/
12,https://www.elespectador.com/mundo/mas-paises/terremoto-de-magnitud-71-sacude-el-norte-de-filipinas/
13,https://www.elespectador.com/mundo/america/maduro-insiste-en-supuestas-amenazas-terroristas-desde-bogota-contra-venezuela/
14,https://www.elespectador.com/archivo/mundo/2/
15,https://www.elespectador.com/mundo/america/peru-un-ano-en-el-limbo-con-pedro-castillo-noticias-hoy/#comments
16,https://www.elespectador.com/judicial/es-falso-que-yo-haya-incumplido-requerimientos-de-la-jep-ministro-ruiz/
17,https://www.elespectador.com/judicial/es-falso-que-yo-haya-incumplido-requerimientos-de-la-jep-ministro-ruiz/#comments
20,https://www.elespectador.com/colombia-20/conflicto/onu-recomienda-al-gobierno-de-gustavo-petro-reformar-la-estrategia-de-seguridad-del-estado/
21,https://www.elespectador.com/colombia-20/conflicto/informe-de-onu-dice-que-politica-de-seguridad-del-gobierno-de-ivan-duque-no-disminuyo-la-violencia-y-da-recomendaciones-a-gustavo-petro/#comments
22,https://www.elespectador.com/archivo/judicial/2/
23,https://www.elespectador.com/colombia-20/conflicto/onu-recomienda-al-gobierno-de-gustavo-petro-reformar-la-estrategia-de-seguridad-del-estado/#comments
